upper,0,1,2,4,8,16,32,64
1000,0,0,0,0,0,0,0,0
10000,0.011,0.012,0.009,0.005,0.004,0.002,0.003,0.004
100000,0.881,0.89,0.665,0.389,0.234,0.162,0.133,0.127
1000000,72.494,72.613,54.341,31.841,17.805,11.992,10.394,9.984
